"범죄별(1)",범죄별(2),2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"범죄별(1)",범죄별(2),계,계,계,계,계,계,계,계,계,계,계,계,계
"범죄별(1)",범죄별(2),아파트 연립다세대,단독주택,기타거주시설(오피스텔 원룸 기숙사 등),도로(고속자동차 보도/골목길 포함),상점/창고,공중위생업소(숙박업소 목욕탕 등),음식점·유흥업소,역 대합실,교통수단,문화/체육/오락시설,학교/도서관/학원,금융보험기관,기타
"계",소계,80819,12193,2489,2300,15749,13940,1949,7730,1409,2709,2120,901,484
"계",살인,149,56,12,11,16,4,3,8,-,2,3,-,-
"계",강도,87,9,1,3,13,14,3,4,-,6,3,-,2
"계",강간강제추행,5523,588,154,308,441,216,708,1124,226,706,139,127,4
"계",절도,35506,3715,734,640,5646,11863,637,2171,500,772,1186,404,428
"계",폭력,39554,7825,1588,1338,9633,1843,598,4423,683,1223,789,370,50
